fila_excel,pedido_id,barrio,error
1624,3323,Recoger en Tienda,barrio no encontrado
1626,3325,Recoger en Tienda,barrio no encontrado
1631,3330,Recoger en Tienda,barrio no encontrado
1636,3335,Recoger en Tienda,barrio no encontrado
1641,3339,Recoger en Tienda,barrio no encontrado
1645,3342,Recoger en Tienda,barrio no encontrado
1652,3348,Recoger en Tienda,barrio no encontrado
1653,3349,Recoger en Tienda,barrio no encontrado
1655,3351,Recoger en Tienda,barrio no encontrado
1659,3355,Recoger en Tienda,barrio no encontrado
1661,3357,Recoger en Tienda,barrio no encontrado
1679,3371,Recoger en Tienda,barrio no encontrado
1689,3381,Recoger en Tienda,barrio no encontrado
1695,3387,Recoger en Tienda,barrio no encontrado
1696,3388,Recoger en Tienda,barrio no encontrado
1697,3389,Recoger en Tienda,barrio no encontrado
1698,3390,Recoger en Tienda,barrio no encontrado
1699,3391,Recoger en Tienda,barrio no encontrado
1700,3392,Recoger en Tienda,barrio no encontrado
1702,3393,Recoger en Tienda,barrio no encontrado
1704,3394,Recoger en Tienda,barrio no encontrado
1708,3398,Recoger en Tienda,barrio no encontrado
1709,3399,Recoger en Tienda,barrio no encontrado
1710,3400,Recoger en Tienda,barrio no encontrado
1712,3402,Recoger en Tienda,barrio no encontrado
1717,3407,Recoger en Tienda,barrio no encontrado
1720,3410,Ciudad Jardín Modelo,barrio no encontrado
1722,3412,Recoger en Tienda,barrio no encontrado
1727,3417,Recoger en Tienda,barrio no encontrado
1730,3419,Recoger en Tienda,barrio no encontrado
1732,3420,Recoger en Tienda,barrio no encontrado
1737,3425,Recoger en Tienda,barrio no encontrado
1742,3428,Recoger en Tienda,barrio no encontrado
1744,3430,Recoger en Tienda,barrio no encontrado
1745,3431,Recoger en Tienda,barrio no encontrado
1748,3433,Recoger en Tienda,barrio no encontrado
1754,3439,Recoger en Tienda,barrio no encontrado
1756,3441,Recoger en Tienda,barrio no encontrado
1757,3442,Recoger en Tienda,barrio no encontrado
1771,3455,Recoger en Tienda,barrio no encontrado
1772,3456,Recoger en Tienda,barrio no encontrado
1773,3457,Recoger en Tienda,barrio no encontrado
1789,3472,Recoger en Tienda,barrio no encontrado
1791,3473,Recoger en Tienda,barrio no encontrado
1794,3475,Recoger en Tienda,barrio no encontrado
1801,3480,Recoger en Tienda,barrio no encontrado
1805,3484,Recoger en Tienda,barrio no encontrado
1809,3488,Recoger en Tienda,barrio no encontrado
1811,3489,Recoger en Tienda,barrio no encontrado
1831,3505,Recoger en Tienda,barrio no encontrado
1835,3509,Recoger en Tienda,barrio no encontrado
1839,3511,Recoger en Tienda,barrio no encontrado
1841,3513,Recoger en Tienda,barrio no encontrado
1843,3515,Recoger en Tienda,barrio no encontrado
1847,3519,Recoger en Tienda,barrio no encontrado
1848,3520,Recoger en Tienda,barrio no encontrado
1851,3523,Recoger en Tienda,barrio no encontrado
1855,3527,Recoger en Tienda,barrio no encontrado
1864,3533,Recoger en Tienda,barrio no encontrado
1865,3534,Recoger en Tienda,barrio no encontrado
1866,3535,Recoger en Tienda,barrio no encontrado
1867,3536,Recoger en Tienda,barrio no encontrado
1870,3538,Recoger en Tienda,barrio no encontrado
1876,3544,Recoger en Tienda,barrio no encontrado
1880,3547,Recoger en Tienda,barrio no encontrado
1883,3549,Recoger en Tienda,barrio no encontrado
1884,3550,Recoger en Tienda,barrio no encontrado
1885,3551,Recoger en Tienda,barrio no encontrado
1895,3558,Recoger en Tienda,barrio no encontrado
